350
40 396
30 3 82020
1 8 6425
23 3 110410
37 31 117379
4 7 141902
23 31 172390
39 21 60913
37 13 57630
20 23 84456
26 1 128800
27 2 50291
29 36 111598
1 33 51688
16 37 50740
18 24 100238
29 9 45013
27 35 103632
33 12 115301
27 22 72654
2 13 70214
2 26 130989
12 21 130693
6 31 137608
17 29 160371
15 13 169423
37 39 112735
14 6 57979
35 25 174178
8 4 58101
37 20 32008
3 29 85397
2 15 111178
9 38 1876
9 1 63242
11 31 108703
11 2 99798
3 39 59338
32 26 158302
37 29 71017
24 5 78464
21 31 216539
13 17 146984
14 4 78055
3 37 70132
22 8 44134
1 27 48102
39 12 126081
2 30 80232
16 11 85232
34 3 138729
33 15 147827
19 18 165118
8 12 70038
7 38 98584
6 36 58571
40 13 80227
14 13 81554
1 34 96132
37 27 98369
20 39 109434
24 30 14957
4 19 185134
14 18 58039
6 8 38025
32 40 89622
20 19 162213
18 27 66605
26 16 116423
17 25 261575
19 2 137327
39 6 18018
27 30 48590
34 13 66727
20 28 127579
1 40 14161
10 14 136988
18 28 112273
4 34 147808
22 34 133841
25 22 204853
7 13 68834
15 39 158607
7 27 127442
37 5 22196
23 9 84767
9 8 56817
30 16 62628
19 40 134769
6 9 85448
28 24 125861
12 17 138194
26 34 103208
40 5 26760
30 31 125511
29 13 13387
8 25 176191
39 2 64657
33 38 90810
39 18 94128
14 28 94147
28 1 80613
2 32 77650
14 15 122518
5 25 141695
40 18 30349
16 19 137303
13 26 123313
13 38 29750
16 38 22860
31 36 159418
37 17 130463
14 27 61631
34 28 106387
13 23 53141
32 33 46153
27 40 49413
5 7 118614
2 3 87959
28 30 110904
37 38 27880
37 35 10287
34 19 151420
11 38 62372
36 23 107771
37 40 48956
12 30 18808
22 1 50559
27 3 121022
35 24 92892
2 24 83924
33 13 119632
20 3 90979
30 15 169937
29 26 118025
31 35 127666
32 25 132249
3 10 120329
39 35 123022
36 18 114791
37 12 66420
34 11 158849
31 10 172989
18 11 81832
10 39 60991
32 13 94489
37 21 134789
20 33 98654
29 5 66854
26 39 145093
34 18 127792
8 7 118975
6 7 80950
16 1 87978
25 38 191771
26 3 135815
40 11 83448
4 33 103364
1 21 111397
27 32 64819
13 35 67917
5 4 77125
13 4 104712
39 9 98236
35 6 105022
21 22 135949
10 24 62435
8 21 104972
10 32 96364
40 16 89289
15 37 111793
21 32 96286
37 24 82605
25 133
3 7 223582
9 7 65766
12 5 184968
3 8 240342
16 3 136544
23 5 8561
15 2 60955
23 22 147181
22 6 146676
1 4 265458
24 17 435251
3 4 195700
7 1 329093
22 3 207045
1 2 273518
16 4 118461
21 16 172827
4 18 213264
16 7 87038
14 23 250290
24 14 146299
3 6 233405
8 13 99885
7 2 74257
4 9 139733
8 21 206192
23 21 98901
2 6 84080
20 14 321028
8 11 70340
16 5 82487
23 9 95069
1 14 297608
10 11 118485
6 13 212422
17 19 252242
22 14 249748
12 23 176407
7 18 276899
3 24 284633
7 12 189519
5 6 179219
23 10 133175
24 12 196327
16 25 1520
9 24 241580
19 16 37299
25 20 146055
22 15 126066
19 22 100638
3 21 309371
4 24 223867
23 1 282514
25 19 38819
16 18 209705
11 4 177697
19 20 184874
24 8 116510
14 3 313037
21 18 268475
11 24 186850
2 22 123943
6 12 199342
25 18 211225
6 7 9823
20 3 284119
8 2 154486
18 1 161912
14 13 315494
2 17 164255
10 8 48145
19 8 66499
15 3 189355
6 23 170658
15 16 52811
22 11 104479
10 19 96548
13 7 202599
13 24 216395
11 3 224020
21 25 174218
15 24 273119
5 24 167532
8 9 125070
4 15 171272
20 9 126303
25 12 104001
5 4 200948
7 23 160835
15 13 191812
5 11 146621
19 24 183009
4 21 291288
17 12 317424
19 6 134160
24 22 150649
4 13 138964
21 12 275308
20 12 250056
22 16 73255
7 4 205499
12 3 236271
15 19 90110
16 14 176493
3 17 351487
20 5 229933
25 14 174973
13 16 139001
22 25 74775
20 1 409474
19 11 124775
10 2 109937
1 19 224600
5 13 215737
5 1 273953
17 25 213423
10 15 112060
10 25 60769
23 16 73926
17 15 225210
16 1 261899
3 23 210470
12 9 123753
20 6 168830
13 21 306077
25 9 19752
13 10 79752
20 8 251373
7 8 170992
19 9 58571
15 5 135169
11 2 129078
13 20 286576
48 540
36 26 15133
43 35 73000
20 26 55911
11 48 6347
39 36 53373
41 37 155463
1 18 21769
33 36 76817
31 6 110449
18 42 67738
43 26 23163
39 16 82916
10 23 68331
7 14 67070
45 27 138152
1 28 126344
36 8 33064
2 20 47631
38 18 70487
29 36 129836
22 30 141591
2 10 84070
13 4 117357
25 45 195461
16 11 68743
38 11 84152
21 35 47244
2 36 25401
47 16 38817
41 42 111679
31 22 47424
15 23 169546
22 41 84070
4 26 76335
5 14 119035
28 23 171658
31 9 164049
15 9 44972
19 3 128481
16 42 91991
39 26 68506
43 25 162607
45 44 59808
38 39 11824
48 28 185989
1 21 50235
37 28 83361
8 23 93266
45 1 111241
29 35 164540
15 18 190360
48 34 121085
48 41 75251
41 46 95599
44 31 120567
42 34 112160
43 19 106016
47 29 139110
15 4 200562
31 14 84202
2 18 30691
10 40 112724
10 16 106760
26 47 24407
44 43 48192
14 39 109136
38 30 49363
12 44 33040
10 37 136679
23 47 69476
32 1 134766
45 43 108000
19 31 122453
46 16 108071
11 7 71194
8 33 109881
47 28 102182
6 17 8562
37 19 152240
8 28 125972
10 39 101970
13 43 75823
25 9 235589
45 47 104036
15 40 166699
46 42 16080
13 7 88993
11 4 101722
29 37 189298
26 22 130078
11 15 177866
3 30 118730
27 28 170614
6 12 70143
42 13 90472
12 8 100015
22 25 240702
7 27 141673
7 12 48751
37 32 91783
32 17 152055
14 19 122018
12 38 87326
45 14 124002
37 8 92526
20 18 46068
7 40 81238
11 32 151288
11 33 138100
26 46 93661
1 25 171056
38 8 32133
23 38 125399
45 9 180982
16 14 75919
1 10 93696
39 30 41743
36 9 140098
2 39 60226
32 39 154433
3 11 121376
11 8 53670
19 13 37598
20 1 57257
7 21 82989
5 40 68939
48 39 75371
29 21 140930
20 9 138185
9 35 145982
40 11 57571
47 19 97259
28 12 179450
19 20 117610
28 44 146410
8 24 87137
46 32 129278
22 36 140003
32 28 159580
2 44 60355
45 23 129906
15 38 164340
24 9 188164
43 17 92855
13 2 87986
18 23 65492
20 5 85502
12 30 37963
35 8 98034
18 25 159867
25 19 193477
2 19 113386
48 18 81441
42 33 139265
28 20 70678
42 11 83054
11 35 104170
23 22 97893
22 9 116625
11 27 105542
42 8 29384
26 33 85608
8 48 60017
33 18 71527
3 5 125369
48 20 115311
44 24 66990
3 20 113429
32 23 62962
15 48 171519
24 21 68188
41 25 250578
22 5 172951
35 31 119359
3 40 81635
7 22 97764
29 5 141576
22 8 157019
34 44 69308
27 47 68432
41 19 85807
22 27 183393
33 40 85801
3 47 81925
46 33 132461
48 37 146193
38 16 94740
23 11 88326
41 31 36646
40 19 57271
2 32 136533
18 17 74327
39 22 167256
48 40 51224
6 39 73923
38 46 13331
41 8 110517
18 12 62704
36 20 40778
29 12 164741
26 9 124965
47 25 163851
19 34 127132
7 46 44337
17 22 135016
25 5 205145
18 24 48783
24 34 64197
18 44 29664
20 25 195355
26 23 45069
6 30 32180
34 13 96939
37 25 214039
24 48 111735
13 5 87454
4 45 126478
9 33 207528
44 26 25029
25 44 135653
24 2 79474
33 23 49774
11 28 179642
16 30 48267
21 12 34238
7 6 66295
19 1 109257
17 7 71961
30 11 39975
5 26 78405
42 45 111345
21 6 54423
35 40 46599
41 24 120022
36 21 33756
9 46 140943
20 31 54301
33 24 22744
38 3 107850
40 18 30217
14 27 104341
10 42 92895
1 43 54775
33 10 118105
30 41 105983
35 24 113036
4 30 61747
2 26 40534
7 44 81791
38 44 87011
9 13 148805
30 2 98003
46 45 119856
10 18 82507
36 11 86734
7 5 75187
4 7 105090
27 34 118570
34 4 120614
21 39 80589
42 38 2749
47 48 83807
39 23 113575
29 23 159772
41 23 87115
13 23 97729
2 3 98052
41 16 125544
44 35 46046
48 12 71591
42 47 53174
27 35 124128
11 19 19799
16 44 10619
29 40 140285
7 20 68917
30 24 103532
1 46 95007
30 32 170708
35 13 73677
44 27 78344
32 15 153678
15 45 182191
16 35 35427
37 43 97758
3 27 121229
21 3 83386
42 19 66790
44 42 84262
14 9 186474
17 21 45861
19 28 188288
20 15 173378
6 29 118606
33 16 96973
1 48 103210
13 38 87723
36 28 111456
21 15 167344
43 38 88295
3 29 196145
28 26 126589
33 15 194796
22 32 82025
33 43 62445
14 8 88827
44 46 100342
4 9 155590
1 7 117779
31 3 100522
43 24 43081
32 33 112736
47 38 55923
28 30 184058
22 40 104496
1 37 42983
2 12 93395
6 33 130305
47 32 120406
47 34 68686
10 14 99548
6 14 114264
33 20 117595
10 46 76815
39 11 73979
11 37 146196
18 22 134713
47 37 68736
19 24 123708
34 2 84813
31 46 94677
6 45 85098
31 10 17862
28 16 140999
31 28 124979
21 30 38846
34 25 183723
26 10 92350
41 5 126449
17 26 69692
30 23 107746
6 27 113337
8 17 67131
38 14 120960
43 14 41391
28 38 158105
43 23 68232
26 48 76806
22 14 131626
9 16 110555
30 8 62052
29 9 213222
11 43 106316
13 11 30493
9 7 151644
38 6 79253
22 21 106247
38 22 155432
32 24 98385
13 30 55610
44 37 94416
1 13 79064
48 6 1448
47 24 63347
3 17 122143
29 22 96597
10 21 110973
32 40 133613
17 39 82485
40 1 51986
6 43 101417
26 8 48197
13 21 28829
40 38 86458
1 42 78927
9 21 122372
48 7 64847
41 20 55223
44 17 44663
40 30 37095
19 38 69539
4 44 96156
2 38 72050
40 12 32487
43 15 193100
15 31 119077
10 22 65286
37 40 94969
27 48 111889
39 28 146281
40 17 44110
32 7 84941
6 28 187437
11 17 13461
33 34 83561
44 19 57824
9 6 174399
22 42 158181
29 13 144200
25 48 187430
41 21 128226
34 30 106956
8 1 49543
27 13 105975
13 12 59565
14 21 66498
43 21 49390
36 4 61202
26 35 49837
35 7 69019
13 46 101054
46 5 30850
30 19 20176
13 36 62585
11 46 97483
36 35 64970
31 36 95079
20 39 75603
29 32 178622
39 12 79706
18 8 38354
7 24 68760
26 1 31612
32 41 71247
30 26 62677
25 33 222007
9 17 165837
8 4 60111
24 27 102651
1 22 156482
6 24 113183
25 6 188878
38 7 57668
48 38 77805
17 5 72586
10 25 231794
30 14 101842
9 8 136097
42 31 110757
46 35 111340
5 43 101568
40 46 99789
38 26 80330
33 14 21054
7 3 50182
40 26 25582
3 18 67361
8 47 23790
17 47 88891
11 6 7795
2 1 41880
45 8 126783
15 37 195840
31 4 155430
28 4 171067
46 4 60753
42 24 116521
3 24 18578
7 25 217444
16 40 11172
16 13 38250
3 14 16888
6 1 104658
42 43 91044
8 20 55294
33 5 140089
5 2 70125
45 30 64731
14 18 50473
14 41 118332
18 7 111455
37 45 154224
20 13 103363
39 42 9075
45 39 106474
37 5 117609
11 9 179298
34 14 62507
42 7 60417
46 29 142886
4 23 121404
4 32 179489
37 21 93218
4 47 70476
25 16 125034
47 40 44781
24 1 52399
15 27 232941
12 35 79086
45 35 105854
9 42 124863
38 35 98009
8 7 89801
37 18 64752
19 7 78299
12 5 69807
10 8 91733
28 2 118309
6 37 147641
6 22 143578
39 47 44099
24 5 117345
5 23 123474
26 13 52660
26 29 114703
48 32 144941
29 39 135881
41 35 120281
14 20 96541
21 44 1198
16 17 55282
36 1 16479
45 33 145056
45 10 107997
31 21 121765
47 22 133229
37 33 114746
19 17 20566
22 15 71653
11 31 118244
20 47 31504
12 24 98924
28 24 165529
38 25 219774
25 35 160461
14 4 95432
23 9 170034
18 43 43586
23 42 122650
3 10 82660
31 40 121120
34 15 214216
23 19 92535
46 48 91136
40 45 59255
48 14 113425
22 37 173808
20 29 170614
41 9 193408
36 25 154577
34 234
20 4 145323
32 33 178594
14 26 293141
3 1 181442
22 24 191376
24 5 171697
12 11 182509
19 29 243258
26 2 157883
6 25 255564
29 2 221810
33 23 239885
24 29 266640
14 15 399047
5 12 235989
27 19 239312
19 30 95004
6 20 60
23 18 223238
9 8 146985
21 24 246304
22 2 146546
14 20 179896
29 4 168413
15 13 172023
28 12 21883
33 20 80226
12 30 102280
33 18 420970
10 32 172614
9 24 196247
23 16 242377
12 27 166733
33 26 134865
27 3 219538
31 1 334983
23 14 339435
16 9 263624
29 31 352057
10 3 100690
19 5 157179
19 1 201196
25 7 271272
25 20 255624
4 31 208632
29 33 199303
25 32 210674
28 21 252081
11 1 331120
24 28 172737
28 7 93075
18 25 246970
16 2 201266
33 15 436679
28 2 165059
19 12 164624
16 33 335190
11 13 480587
18 29 432528
32 29 295408
11 23 246564
25 9 194635
26 29 334168
9 11 175649
30 21 127918
25 15 241404
33 4 225549
21 26 359357
23 17 73536
2 14 298324
18 10 309734
33 25 323545
32 20 148015
4 7 160971
9 28 209682
17 3 42963
27 23 233730
26 30 231439
13 26 361084
30 2 73556
15 31 415356
12 25 271388
4 28 111662
25 10 227228
18 2 222196
34 29 301385
22 28 105425
29 22 307527
2 34 184948
26 10 256899
23 26 198994
31 7 88296
6 17 86063
29 9 70393
9 20 209136
1 34 251665
7 16 270612
23 1 220859
10 1 103070
6 8 122920
5 3 137405
13 22 395966
17 9 183842
18 6 340684
1 20 264016
27 10 118848
23 30 114667
26 1 337631
8 19 25880
25 17 169501
2 6 118488
27 34 209926
34 25 314581
10 29 122794
23 2 41111
29 28 280075
6 34 98677
27 13 293154
27 16 347744
2 33 198774
17 20 86123
3 26 168421
28 23 206170
17 12 141547
32 9 225015
1 30 106192
16 11 359908
18 20 340744
15 8 278692
26 24 113053
1 33 284381
30 8 69124
2 4 53397
13 1 316336
9 22 237134
16 26 359149
2 25 137076
34 24 194047
18 7 356392
16 34 316249
14 8 302756
16 28 294939
1 2 179748
15 22 420806
31 6 72588
10 13 252537
1 29 225864
24 1 224578
1 12 208472
27 24 262694
30 24 118386
33 9 128910
31 33 152754
31 27 294805
29 7 291191
11 17 213088
6 3 129026
27 32 291462
17 5 94442
31 5 253093
13 31 438935
25 23 178187
2 20 118548
34 19 207817
8 22 150978
21 20 285742
26 28 190672
23 20 159659
34 28 21310
3 12 144850
1 16 309628
34 17 152523
30 31 228791
2 32 73598
18 8 226628
34 5 246965
19 10 120464
15 6 392748
33 13 433848
26 27 335522
12 15 417436
5 14 351695
17 21 233899
9 6 209196
6 5 180505
14 30 337600
16 32 274864
17 15 306685
1 22 292014
27 30 184626
10 20 190942
21 15 475734
12 14 235320
32 28 225322
22 25 283622
12 31 128072
22 31 100526
3 14 308862
26 6 113305
12 22 83542
11 31 199493
28 25 293271
33 28 157653
27 8 213432
17 28 163430
25 31 292311
22 26 141243
13 24 248031
2 24 44830
14 16 277296
19 9 172865
6 33 80286
21 19 222922
12 18 310447
29 6 279589
6 13 367908
30 10 65778
5 30 200423
27 20 222277
32 23 114709
7 34 114385
10 34 178591
33 30 238050
5 32 200465
21 16 331354
30 22 185822
9 27 171249
8 28 160627
16 4 183277
19 16 227513
7 11 142733
23 3 51649
12 7 71192
27 11 346898
32 253
31 23 115556
3 28 106137
9 6 240676
12 21 130895
5 18 193610
17 1 95341
31 15 145745
17 29 90285
1 19 143351
27 24 128406
6 13 154688
17 31 91599
22 9 161215
31 1 87505
22 14 144447
15 24 113004
30 1 100188
2 27 129971
3 17 162181
15 26 98134
23 17 123392
5 11 189984
28 31 23810
2 16 85133
3 4 157384
16 9 120603
10 30 166179
2 3 148770
7 16 119172
16 28 34654
18 27 248853
14 5 57364
18 28 207455
21 13 146301
32 20 199353
15 1 78898
3 8 227853
26 5 88606
22 16 147326
14 8 125584
18 10 261843
12 29 137661
15 18 233451
24 11 204517
6 4 160982
10 3 199680
31 22 160816
17 8 101311
1 24 142965
18 8 59208
11 2 200042
9 27 161546
28 2 90253
17 14 24273
1 16 53357
16 6 127052
14 16 126716
12 14 116278
13 32 150903
8 27 257572
31 4 75057
12 3 202958
8 29 160939
30 20 125336
30 7 96687
16 24 89608
21 20 152691
13 11 149411
2 14 134505
6 15 120708
11 10 168842
6 22 135779
31 20 140183
20 7 200891
28 17 67789
19 16 147333
28 29 22496
20 25 178177
18 14 184792
4 17 82893
3 9 237078
13 23 182912
30 19 43163
30 25 179432
25 21 171617
8 15 242170
32 22 146137
21 2 184608
7 18 175210
12 1 178860
27 23 122351
27 15 15402
21 31 133623
11 20 58128
2 22 99498
26 17 55515
7 2 89023
21 28 109813
12 27 216771
1 28 63695
32 24 164772
32 9 135531
3 14 137908
14 15 129376
19 26 103525
15 4 91346
7 3 233605
25 9 192745
12 5 125096
4 26 138408
11 4 74000
29 10 116039
13 19 98443
9 2 182170
16 26 104478
29 26 116636
11 9 72696
9 21 195762
6 29 139210
21 19 47858
21 18 162977
22 12 216440
5 7 124931
32 6 133580
31 27 130343
4 19 130903
6 25 197226
11 8 218564
31 32 113082
21 17 95868
29 30 95132
31 24 148072
2 5 191133
15 21 70474
16 12 149819
15 7 203592
23 22 122020
30 28 72636
11 25 187051
25 27 213329
32 11 208227
6 1 173430
1 21 128516
15 17 153649
19 20 168499
8 21 197179
16 17 102443
26 24 14870
18 30 165366
25 17 174585
12 17 92005
29 32 143930
1 9 67246
6 28 145878
19 2 163529
14 26 31242
27 26 113536
2 31 66443
26 12 147520
26 21 151383
18 2 264233
16 30 107290
25 8 159867
8 9 163517
26 28 123304
28 11 125247
32 10 189600
13 8 100761
25 1 125499
27 11 155852
29 25 84300
6 11 234982
30 21 91021
18 24 230904
22 7 188521
32 18 310872
31 19 97086
16 11 114909
10 2 142961
14 24 46112
17 7 91840
3 5 195272
10 14 157768
13 7 15241
13 26 132114
16 15 132255
31 10 117353
14 4 107166
5 22 201811
5 23 156483
31 13 136037
7 6 169929
3 27 212670
19 8 149321
21 5 119265
16 20 106035
18 23 192857
23 9 39195
17 20 120489
20 3 222510
32 3 195409
2 23 166541
24 21 152517
2 32 46639
4 24 130517
25 32 228230
16 5 107161
23 30 128239
26 1 150856
29 27 129029
12 6 170094
15 11 140450
5 13 109690
32 19 210168
26 31 147114
8 23 191323
20 28 116373
1 10 107290
27 4 106748
27 22 30473
15 25 204397
32 7 135662
7 28 129510
19 25 219475
16 23 81408
8 26 156826
30 2 162889
8 31 192910
1 14 119614
12 25 221961
5 25 179303
15 9 146144
12 19 83037
15 30 158496
7 19 113684
20 18 217484
25 31 130606
23 24 171016
18 13 159969
14 29 114558
27 32 176610
3 18 168645
12 30 96852
17 11 156893
23 32 174726
3 29 128633
4 20 65126
4 22 106417
30 9 167434
14 11 181166
26 2 103263
22 19 133403
8 30 106158
30 324
12 20 80206
29 25 131970
2 23 114464
22 2 123017
17 21 130759
28 27 147255
8 2 62102
28 29 199031
18 25 119673
17 25 202898
23 3 172578
13 2 74075
5 3 206748
28 9 209764
11 5 224118
18 30 56654
11 1 148305
14 27 243438
8 24 204694
19 27 224613
22 24 265635
18 20 90197
10 8 162588
11 3 157419
28 3 276937
6 27 42097
14 21 165095
28 21 27225
7 13 145766
13 22 135142
26 3 238098
2 28 196652
24 14 258680
16 21 291677
6 19 182516
3 24 50916
1 23 150784
26 1 125307
15 14 92094
9 15 32224
27 29 194587
13 25 130325
29 30 68925
17 14 34336
3 8 153778
26 6 288088
22 8 123169
21 10 192861
7 12 220813
12 3 175902
19 9 44049
9 23 105376
1 16 152883
26 30 204523
13 21 200924
19 7 177437
8 30 19560
26 25 267568
16 26 221451
20 5 139551
7 14 134312
10 17 224454
24 20 231316
21 3 280475
23 16 31783
22 14 142480
23 15 137600
18 19 42323
8 13 74227
17 26 64670
18 1 99743
16 29 126426
12 9 87425
2 15 29473
22 6 199787
1 14 26301
7 30 123414
10 25 44236
18 8 63575
8 14 124723
19 20 132520
29 15 46247
12 27 155657
16 22 185198
25 12 181512
1 12 147815
2 6 138720
26 21 172116
15 18 33950
28 30 191894
7 21 152186
2 7 71691
21 5 97414
1 24 240862
1 7 108011
14 20 41308
21 29 202569
21 4 172676
17 12 87178
18 23 103650
23 10 260059
24 18 141119
30 3 146840
2 11 111985
14 19 159884
4 30 50687
18 26 147895
10 28 165636
4 11 84014
20 26 71670
18 21 190272
25 24 252622
29 2 75720
17 19 125548
19 16 177756
17 16 160918
10 19 206232
3 2 153626
23 30 160278
4 18 32448
26 19 190218
30 14 144283
19 4 74771
17 6 223418
16 5 251978
6 13 150845
15 30 52189
6 25 20520
16 15 169383
28 22 211346
25 5 167081
13 9 12378
5 23 220195
21 9 191998
30 12 142327
16 2 146247
30 21 219119
7 11 183676
27 26 305196
27 23 241678
4 20 122645
30 20 146825
11 23 206651
13 1 110395
27 20 233554
5 29 128842
5 2 149449
30 25 137912
7 18 135114
29 24 128822
8 11 115141
1 21 191396
11 12 164792
20 7 175620
19 23 145973
25 19 161996
27 8 180969
22 19 166813
24 2 204542
2 12 149122
10 30 182148
12 10 137276
15 27 151344
4 15 1502
13 28 197386
7 27 252508
17 9 84951
29 12 97996
4 9 30722
5 6 146561
12 15 119649
6 1 175040
12 23 189349
5 22 179526
24 9 142845
17 11 199687
18 3 90203
30 24 197747
17 1 60637
4 22 92042
18 22 124490
17 7 168648
17 4 115673
6 18 140193
26 9 149621
13 18 10652
8 21 203827
30 13 67280
6 7 210411
20 2 103929
11 20 206659
26 29 160192
23 20 193847
14 23 158365
29 18 12313
1 27 217137
3 13 79551
14 3 207764
6 3 230396
15 5 171799
17 22 108144
14 10 225057
13 20 100849
13 26 158547
29 8 75872
1 30 117982
28 1 218621
10 27 18381
7 3 225317
26 24 289014
8 7 103854
4 14 93596
3 16 193220
7 29 147411
25 11 171239
21 20 137731
24 12 226818
6 14 201341
29 19 54620
25 14 180821
22 25 179267
9 11 114736
24 11 106514
6 12 160992
16 7 217938
26 14 99006
21 22 238571
15 25 88727
16 20 167890
20 17 6995
20 29 102494
2 27 180817
4 12 118147
1 19 142066
17 15 117175
29 22 136787
2 26 161627
3 9 91929
23 8 167225
21 6 216577
24 13 130467
29 23 94643
21 19 232595
23 28 290384
24 17 224344
18 16 135433
4 16 167881
28 18 208038
2 4 30975
27 5 141226
13 23 92998
13 4 43100
12 13 96351
26 8 211470
25 2 118200
29 13 1645
15 10 132963
12 16 221132
10 22 223503
10 4 131461
3 15 124153
24 21 318059
27 30 200529
17 13 93877
26 4 180343
3 4 122651
9 7 133388
28 5 70189
8 12 149274
8 17 146800
25 20 209870
23 26 189668
16 13 124781
2 19 105746
16 11 238434
15 7 101164
13 5 127197
27 24 226767
11 26 264357
27 17 240526
8 20 153772
11 19 158785
1 15 65793
22 26 172814
9 2 61697
14 5 180859
30 2 81662
2 18 63423
1 5 185769
20 28 164956
26 28 199341
17 18 83225
18 5 137849
4 27 149842
22 27 241884
7 22 86385
25 7 189891
6 4 107745
21 12 156759
1 20 67609
13 10 174561
23 17 186875
9 25 117947
30 17 139853
25 1 154520
20 9 91923
19 12 128022
18 14 117561
16 10 291842
16 30 192061
29 3 77906
17 2 96957
14 29 129858
20 22 115116
26 12 151848
11 18 116462
7 4 102690
24 28 322799
10 6 23716
30 6 158432
27 18 182290
26 15 181845
2 21 203651
6 29 152490
39 591
38 5 223603
13 18 109685
13 12 93554
28 29 140164
29 13 99108
16 29 99112
7 25 148161
35 23 147825
14 19 154477
12 36 176368
27 32 123944
13 15 137171
8 36 123017
1 35 128066
3 33 129334
39 2 158540
37 17 134154
10 35 52945
21 12 174956
11 22 90558
31 14 64523
6 4 44436
20 33 203761
21 17 108119
14 7 126916
26 18 160374
33 19 166437
22 7 149473
18 23 180967
7 20 203888
31 38 124181
2 24 188494
27 4 174586
16 2 200553
39 28 130580
34 13 4495
30 19 107431
22 23 148006
38 33 156597
20 18 193719
33 23 240395
15 21 65408
25 21 60198
13 25 133355
17 33 184286
38 7 130624
36 24 35778
36 16 68718
22 37 85886
29 25 72565
37 9 107874
30 8 76395
12 34 89059
34 35 143238
5 35 76989
11 34 36423
2 21 230416
21 16 116060
9 5 252922
5 23 190616
35 12 168900
14 32 104055
19 5 110312
21 35 89008
10 14 139901
39 7 167781
12 27 128148
29 10 96700
19 35 67521
3 30 32374
13 20 137138
17 35 53309
21 34 157313
11 30 77110
26 22 135112
19 34 138607
30 39 145328
10 5 95736
9 36 182508
1 33 170055
14 25 115766
24 21 132254
4 24 82000
7 23 113311
6 32 43064
6 34 88555
6 20 117321
15 16 98923
35 15 71871
7 13 73879
30 22 62973
1 11 146780
18 34 105190
5 33 203430
7 2 196154
2 8 108811
20 30 131266
6 10 78910
14 39 191063
10 20 113107
30 12 129746
34 27 130191
2 30 185206
39 12 122284
29 31 94493
1 12 176343
33 37 120949
31 34 92087
39 25 80289
5 27 183834
11 39 69648
30 16 51890
10 37 90929
12 8 53351
13 4 71002
